mineral,formula,system
ANAPAITE,Ca2Fe++(PO4)2.4H2O,A
ANATACAMITE,Cu2Cl(OH)3,A
ANATASE,TiO2,Q
ANCYLITE-(Ce),SrCe(CO3)2(OH).H2O,O
ANCYLITE-(La),Sr(La|Ce)(CO3)2(OH).H2O,O
ANDALUSITE,Al2SiO5,O
ANDERSONITE,Na2Ca(UO2)(CO3)3.6H2O,R
ANDESINE,(?),(Na|Ca)(Si|Al)4O8,A
ANDORITE,PbAgSb3S6,O
ANDRADITE,{Ca3}[Fe+++2](Si3)O12,C
ANDREMEYERITE,BaFe++2Si2O7,M,(?)
ANDREYIVANOVITE,Fe(Cr|Fe)P,O
ANDRIANOVITE,Na12(K|Sr|Ce)3Ca6Mn3Zr3Nb(Si25O73)(O|H2O|OH)5,R
ANDUOITE,(Ru|Os)As2,O
ANDYROBERTSITE,KCdCu5(AsO4)4[As(OH)2O2].2(H2O),M
ANGARFITE,NaFe+++5(PO4)4(OH)4.4H2O,O
ANGASTONITE,CaMgAl2(PO4)2(OH)2.7H2O,A
ANGELAITE,Cu2AgPbBiS4,M
ANGELELLITE,Fe+++4(AsO4)2O3,A
ANGLESITE,PbSO4,O
ANHYDRITE,CaSO4,O
ANILITE,Cu7S4,O
ANKERITE,Ca(Fe++|Mg|Mn)(CO3)2,R
ANKINOVICHITE,(Ni|Zn)Al4(VO3)2(OH)12.2H2O,M
ANNABERGITE,Ni3(AsO4)2.8H2O,M
ANNITE,KFe++3AlSi3O10(OH)2,M
ANORPIMENT,As2S3,A
ANORTHITE,CaAl2Si2O8,A
ANORTHOCLASE,(Na|K)AlSi3O8,A
ANORTHOMINASRAGRITE,V++++O(SO4).5H2O,M
ANORTHOMINASRAGRITE,V++++O(SO4).5H2O,A
ANSERMETITE,Mn++(V+++++2O6).4H2O,M
ANTARCTICITE,CaCl2.6H2O,R
ANTHOINITE,WAl(O|OH)3,(?),A
ANTHONYITE,Cu(OH|Cl)2.3H2O,M
ANTHOPHYLLITE,[]Mg7Si8O22(OH)2,O
ANTIGORITE,(Mg|Fe++)3Si2O5(OH)4,M
ANTIMONSELITE,Sb2Se3,O
ANTIMONY,Sb,R
ANTLERITE,Cu3(SO4)(OH)4,O
ANYUIITE,Au(Pb|Sb)2,Q
