mineral,formula,system
CHIVRUAIITE,Ca4(Ti|Nb)5[(Si6O17)2[(OH|O)5].13-14H2O,O
CHKALOVITE,Na2BeSi2O6,O
CHLADNIITE,Na12Ca5(Mg|Fe++)43(PO4)36,R
CHLORALUMINITE,AlCl3.6H2O,R
CHLORAPATITE,Ca5(PO4)3Cl,H
CHLORAPATITE-M,Ca5(PO4)3Cl,M
CHLORARGYRITE,AgCl,C
CHLORARTINITE,Mg2(CO3)Cl(OH).3H2O,R
CHLORBARTONITE,K6Fe24S26(Cl|S),Q
CHLORITOID,(Fe++|Mg|Mn)2Al4Si2O10(OH)4,M/A
CHLORKYUYGENITE,Ca12Al14O32[(H2O)4Cl2],C
CHLORMAGALUMINITE,(Mg|Fe++)4Al2(OH)12(Cl2|CO3).2H2O,H
CHLORMANGANOKALITE,K4MnCl6,R
CHLORMAYENITE,Ca12Al14O33,C
CHLOROCALCITE,KCaCl3,O ps C
CHLOROMAGNESITE,MgCl2,Q
CHLOROMENITE,Cu9O2(SeO3)4Cl6,M
CHLOROPHOENICITE,(Mn|Mg)3Zn2(AsO4)(OH|O)6,M
CHLOROPOTASSICHASTINGSITE,KCa2(Fe++4Fe+++)Si6Al2O22(Cl|OH)2,M
CHLOROTHIONITE,K2Cu(SO4)Cl2,O
CHLOROXIPHITE,Pb3CuCl2(OH)2O2,M
CHOLOALITE,PbCu++(Te++++O3)2.H2O,C
CHONDRODITE,(Mg|Fe++)5(SiO4)2(F|OH)2,M
CHOPINITE,(Mg|Fe++)3(PO4)2,M
CHOVANITE,Pb14|6Sb14|4S36O0|2,M
CHRISSTANLEYITE,Ag2Pd3Se4,M
CHRISTELITE,Zn3Cu2(SO4)2(OH)6.4H2O,A
CHRISTITE,TlHgAsS3,M
CHRISTOFSCHAFERITE-(Ce),(Ce|La|Ca)4Mn(Ti|Fe)3(Fe|Ti)(Si2O7)2O8,M
CHROMATITE,CaCrO4,Q
CHROMBISMITE,Bi+++16(CrO4)O23,Q
CHROMCELADONITE,KCrMgSi4O10(OH)2,M
CHROMFERIDE,Fe3Cr1-x,(x=0|6),C
CHROMIOPARGASITE,NaCa2(Mg4Cr)(Si6Al2)O22(OH)2,M
CHROMITE,Fe++Cr2O4,C
CHROMIUM,Cr,C
CHROMIUMDRAVITE,NaMg3Cr6(Si6O18)(BO3)3(OH)3OH,R
CHROMOALUMINOPOVONDRAITE,NaCr3(Al4Mg2)(Si6O18)(BO3)3(OH)3O,R
CHROMPHYLLITE,KCr2[]AlSi3O10(OH|F)2,M ps H
CHROMSCHIEFFELINITE,Pb10Te++++++6O20(OH)14(CrO4).5H2O,O
CHRYSOBERYL,BeAl2O4,O
CHRYSOCOLLA,(Cu|Al)2H2Si2O5(OH)4.nH2O,M
CHRYSOTILE,Mg3Si2O5(OH)4,M
CHUDOBAITE,(Mg|Zn)5H2(AsO4)4.10H2O,A
CHUKANOVITE,Fe++2(CO3)3(OH)2,M
CHUKHROVITE-(Ca),Ca4|5Al2(SO4)F13.12H2O,C
CHUKHROVITE-(Ce),Ca3(Ce|Y)Al2(SO4)F13.10H2O,C
CHUKHROVITE-(Nd),Ca3(Nd|Y)Al2(SO4)F13.12H2O,C
CHUKHROVITE-(Y),Ca3(Y|Ce)Al2(SO4)F13.10H2O,C
CHURCHITE-(Dy),(?),(Dy|Sm|Gd|Nd)(PO4).2H2O,M
CHURCHITE-(Nd),(?),Nd(PO4).2H2O,M
CHURCHITE-(Y),YPO4.2H2O,M
CHURSINITE,Hg+Hg++(AsO4),M
CHVALETICEITE,(Mn++|Mg)SO4.6H2O,M
CHVILEVAITE,Na(Cu|Fe|Zn)2S2,H
CIANCIULLIITE,Mn++++(Mg|Mn++)2Zn+2(OH)10.2-4H2O,M
CINNABAR,HgS,R
CIPRIANIITE,Ca4[(Th|U|REE)]2Al[]2[Si4B4O22](OH|F)2,M
CLAIRITE,(NH4)2(Fe+++|Mn+++)3(SO4)4(OH)3.3H2O,A
CLARAITE,(Cu|Zn)3(CO3)(OH)4.4H2O,A,(?) ps H
CLARINGBULLITE,Cu4(OH)6FCl,H
CLARKEITE,Na[(UO2)O(OH)](H2O)0-1,H
CLAUDETITE,As2O3,M
CLAUSTHALITE,PbSe,C
CLEARCREEKITE,Hg+3(CO3)(OH).2H2O,M
CLERITE,MnSb2S4,O
CLEUSONITE,(Pb|Sr)(U++++|U++++++)(Fe+++|Zn)2(Ti|Fe++|Fe+++)18(O|OH)38,R
CLIFFORDITE,UTe3O9,C
CLINOATACAMITE,Cu++2Cl(OH)3,M
CLINOBEHOITE,Be(OH)2,M
CLINOBISVANITE,BiVO4,M
CLINOCERVANTITE,beta-Sb+++Sb+++++O4,M
CLINOCHALCOMENITE,CuSeO3.2H2O,M
CLINOCHLORE,(Mg|Fe++)5Al(Si3Al)O10(OH)8,M
CLINOCLASE,Cu3(AsO4)(OH)3,M
CLINOENSTATITE,Mg2Si2O6,M
CLINOFERROHOLMQUISTITE,[](Li2Fe++3Al2)Si8O22(OH)2,M
CLINOFERROSILITE,(Fe++|Mg)2Si2O6,M
CLINOHEDRITE,CaZnSiO4.H2O,M
CLINOHUMITE,(Mg|Fe++)9(SiO4)4(F|OH)2,M
CLINOJIMTHOMPSONITE,(Mg|Fe++)5Si6O16(OH)2,M
CLINOKURCHATOVITE,Ca(Mg|Fe++|Mn)B2O5,M
CLINOMETABORITE,HBO2,M
CLINOPHOSINAITE,Na12(Ca|Sr)4(PO4)4(Si4O12),M
CLINOPTILOLITE-Ca,(Ca0|5|Na|K)6[Al6Si30O72].20H2O,M
CLINOPTILOLITE-K,(K|Na)6[Al6Si30O72].20H2O,M
CLINOPTILOLITE-Na,(Na|K|Ca0|5)6[Al6Si30O72].20H2O,M
CLINOSAFFLORITE,(Co|Fe|Ni)As2,M
CLINOTOBERMORITE,[Ca4Si6O17.2H2O].(Ca.3H2O),M
CLINOUNGEMACHITE,K2Na3Fe(SO4)6(OH)3.9H2O,M ps R
CLINOZOISITE,Ca2Al3[Si2O7][SiO4]O(OH),M
CLINOZOISITE-(Sr),CaSrAl3[Si2O7][SiO4]O(OH),M
CLINTONITE,CaMg2AlAl3SiO10(OH)2,M
CLONCURRYITE,Cu0|5Al2(VO)0|5(PO4)2(F|OH)2.5H2O,M
COALINGITE,Mg10Fe+++2(CO3)(OH)24.2H2O,R
COBALTARTHURITE,(Co++|Mg)Fe+++2(AsO4)2(OH)2.4H2O,M
COBALTAUSTINITE,Ca(Co|Cu++)(AsO4)(OH),O
COBALTITE,CoAsS,C
COBALTKIESERITE,Co(SO4).H2O,M
COBALTKORITNIGITE,(Co|Zn)(As+++++O3)(OH).H2O,A
COBALTLOTHARMEYERITE,Ca(Co|Fe+++|Ni)2(AsO4)2(OH|H2O)2,M
COBALTNEUSTADTELITE,Bi2Fe+++(Co++|Fe+++)O(OH)3(AsO4)2,A
COBALTOBLODITE,Na2(Co|Mg)(SO4)2.4H2O,M
COBALTOMENITE,CoSeO3.2H2O,M
COBALTPENTLANDITE,Co9S8,C
COBALTTSUMCORITE,Pb(Co|Fe+++|Ni)2(AsO4)2(H2O|OH)2,M
COBALTZIPPEITE,Co(UO2)2(SO4)O2.3|5H2O,M
COCHROMITE,(Co|Ni|Fe++)(Cr|Al)2O4,C
COCONINOITE,Fe+++2Al2(UO2)2(PO4)4(SO4)(OH)2.20H2O,M,(?)
COESITE,SiO2,M
COFFINITE,U(SiO4)1-x(OH)4x,Q
COHENITE,(Fe|Ni|Co)3C,O
COIRAITE,(Pb|Sn++)12|5Fe++Sn++++5As3S28,M ps Q/H
COLEMANITE,Ca2B6O11.5H2O,M
COLIMAITE,K3VS4,O
COLLINSITE,Ca2(Mg|Fe++)(PO4)2.2H2O,A
COLORADOITE,HgTe,C
COLQUIRIITE,CaLiAlF6,R
COLUMBITE-(Fe),Fe++Nb2O6,O
COLUMBITE-(Mg),(Mg|Fe++|Mn)(Nb|Ta)2O6,O
COLUMBITE-(Mn),(Mn|Fe++)(Nb|Ta)2O6,O
COLUSITE,Cu26V2(As|Sn|Sb)6S32,C
COMANCHEITE,Hg++55N---24(NH2|OH)4(Cl|Br)34,O
COMBEITE,Na2Ca2Si3O9,R
COMBLAINITE,Ni++6Co+++2(CO3)(OH)16.4H2O,R
COMPREIGNACITE,K2(UO2)6O4(OH)6.7H2O,O
CONGOLITE,(Fe++|Mg|Mn)3B7O13Cl,R
CONICHALCITE,CaCu++(AsO4)(OH),O
CONNELLITE,Cu19Cl4(SO4)(OH)32.2H2O,H
COOKEITE,LiAl4(Si3Al)O10(OH)8,M
COOMBSITE,K(Mn++|Fe++|Mg)13(Si|Al)18O42(OH)14,R
COOPERITE,(Pt|Pd|Ni)S,Q
COPARSITE,Cu4O2[(As|V)O4]Cl,O
COPIAPITE,Fe++Fe+++4(SO4)6(OH)2.20H2O,A
COPPER,Cu,C
COQUANDITE,Sb6O8(SO4).H2O,A
COQUIMBITE,Fe+++2(SO4)3.9H2O,R
CORALLOITE,Mn++Mn+++2(AsO4)2(OH)2.4H2O,M
CORDEROITE,Hg3S2Cl2,C
CORDIERITE,Mg2Al4Si5O18,O
CORDYLITE-(Ce),NaBaCe2(CO3)4F,H
CORDYLITE-(La),(Na|Ca)Ba(La|Ce|Sr)2(CO3)4F,H
CORKITE,PbFe+++3(PO4)(SO4)(OH)6,R
CORNETITE,Cu3(PO4)(OH)3,O
CORNUBITE,Cu5(AsO4)2(OH)4,A
CORNWALLITE,Cu5(AsO4)2(OH)4,M
CORONADITE,Pb(Mn++++|Mn++)8O16,M ps Q
CORREIANEVESITE,Fe++Mn++2(PO4)2.3H2O,O
CORRENSITE,(Mg|Fe|Al)9(Si|Al)8O20(OH)10.nH2O,O
CORUNDUM,Al2O3,R
CORVUSITE,(Na|Ca|K)(V+++++|V++++|Fe++)8O20.4H2O,M
COSALITE,Pb2Bi2S5,O
COSKRENITE-(Ce),(Ce|Nd|La)2(SO4)2(C2O4).8H2O,A
COSSAITE,(Mg0|5|[])Al6(SO4)6(HSO4)F6.36H2O,R ps H
COSTIBITE,CoSbS,O
COTUNNITE,PbCl2,O
COULSELLITE,CaNa3AlMg3F14,R ps C
COULSONITE,Fe++V+++2O4,C
COUSINITE,MgU2Mo2O13.6H2O,(?),(?)
COUTINHOITE,(Th|Ba)0|5(UO2)2Si5O13.1-3|5H2O,O
COVELLITE,CuS,H
COWLESITE,Ca[Al2Si3O10].5|3H2O,O
COYOTEITE,NaFe3S5.2H2O,A
CRANDALLITE,CaAl3(PO3OH)(PO4)(OH)6,R
CRANSWICKITE,MgSO4.4H2O,M
CRAWFORDITE,Na3Sr(PO4)(CO3),M ps O
CREASEYITE,Pb2Cu2Fe+++2Si5O17.6H2O,O
CREDNERITE,CuMnO2,M
CREEDITE,Ca3Al2(SO4)(F|OH)10.2H2O,M
CRERARITE,(Pt|Pb)Bi3(S|Se)4-x,(x=0|7),C
CRICHTONITE,(Sr|La|Ce|Y)(Ti|Fe+++|Mn)21O38,R
CRIDDLEITE,TlAg2Au3Sb10S10,M ps Q
CRISTOBALITE,SiO2,Q
CROCOITE,PbCrO4,M
CRONSTEDTITE,Fe++2Fe+++(SiFe+++)O5(OH)4,M
CRONUSITE,Ca0|2(H2O)2CrS2,R
CROOKESITE,Cu7(Tl|Ag)Se4,Q
CRYOLITE,Na3AlF6,M
CRYOLITHIONITE,{Na3}[Al2](Li3)F12,C
CRYPTOHALITE,(NH4)2SiF6,C
CRYPTOMELANE,K(Mn++++|Mn++)8O16,M ps Q
CRYPTOPHYLLITE,K2Ca[Si4O10].5H2O,M
CUALSTIBITE,Cu2AlSb+++++(OH)12,R
CUBANITE,CuFe2S3,O
CUBOARGYRITE,AgSbS2,C
CUMENGEITE,Pb21Cu20Cl42(OH)40.6H2O,Q
CUMMINGTONITE,[]Mg7Si8O22(OH)2,M
CUPALITE,(Cu|Zn)Al,O
CUPRITE,Cu2O,C
CUPROBISMUTITE,Cu10Bi12S23,M
CUPROCOPIAPITE,Cu++Fe+++4(SO4)6(OH)2.20H2O,A
CUPROIRIDSITE,CuIr2S4,C
CUPROKALININITE,Cu(Cr|V+++)2S4,C
CUPROMAKOPAVONITE,Cu8Ag3Pb4Bi19S38,M
CUPROMOLYBDITE,Cu3(MoO4)O,O
CUPRONEYITE,Cu7Pb27Bi25S68,M
CUPROPAVONITE,AgPbCu2Bi5S10,M
CUPROPEARCEITE,Ag9Cu7(As|Sb)2S11,R
CUPROPOLYBASITE,Ag9Cu7(Sb|As)2S11,R
CUPRORHODSITE,CuRh2S4,C
CUPRORIVAITE,CaCuSi4O10,Q
CUPROROMEITE,Cu++2Sb2(O|OH)7,(?),C,(?)
CUPROSKLODOWSKITE,(H3O)2Cu(UO2)2(SiO4)2.2H2O,A
CUPROSPINEL,(Cu++|Mg)Fe+++2O4,C
CUPROSTIBITE,Cu2(Sb|Tl),Q
CUPROTUNGSTITE,Cu++3(WO4)2(OH)2,Q
CURETONITE,Ba(Al|Ti++++)(PO4)4(O|OH)F,M
CURIENITE,Pb(UO2)2V2O8.5H2O,O
CURITE,Pb3(UO2)8O8(OH)6.2H2O,O
CUSPIDINE,Ca4(Si2O7)(F|OH)2,M
CUZTICITE,Fe+++2Te++++++O6.3H2O,H
CYANOCHROITE,K2Cu++(SO4).6H2O,M
CYANOTRICHITE,Cu4Al2(SO4)(OH)12.2H2O,O
CYLINDRITE,Pb4Fe++Sn++++4Sb+++2S16,A
CYMRITE,BaAl2Si2(O|OH)8.H2O,M
CYRILOVITE,NaFe+++3(PO4)2(OH)4.2H2O,Q
DACHIARDITE-Ca,(Ca0|5|K|Na)4-5[Al4-5Si20-19O48].12-13H2O,M
DACHIARDITE-Na,(Na|K|Ca0|5)4-5[Al4-5Si20-19O48].12-13H2O,M
DADSONITE,Pb23Sb25S60Cl,A ps M
DALIRANITE,PbHgAs2S6,M
DALNEGROITE,Tl5-xPb2x(As|Sb)21-xS34,A
DALYITE,K2ZrSi6O15,A
DAMARAITE,Pb3O2(OH)Cl,O
DAMIAOITE,PtIn2,C
DANALITE,Fe++4Be3(SiO4)3S,C
DANBAITE,CuZn2,C
DANBURITE,CaB2(SiO4)2,O
DANIELSITE,(Cu|Ag)14HgS8,O
DANSITE,(D'ANSITE),Na21Mg(SO4)10Cl3,C
DANSITE-Fe,(D'ANSITE-Fe),Na21Fe++(SO4)10Cl3,C
DANSITE-Mn,(D'ANSITE-Mn),Na21Mn++(SO4)10Cl3,C
DANTOPAITE,(Ag|Cu)5(Bi|Pb)13S22,M
DAOMANITE,CuPtAsS2,O
DAQINGSHANITE-(Ce),(Sr|Ca|Ba)3(Ce|La)(PO4)(CO3)3-x(OH|F)x,H
DARAPIOSITE,NaxK(Li|Zn|Fe++)2(Mn|Zr|Y)2(Si12O30),(x,=,less,than,2),H
DARAPSKITE,Na3(SO4)(NO3).H2O,M
DARRELLHENRYITE,Na(LiAl2)Al6(Si6O18)(BO3)3(OH)3OH,R
DASHKOVAITE,Mg(HCO3)2.2H2O,M
DATOLITE,Ca2B2Si2O8(OH)2,M
DAUBREEITE,BiO(OH|Cl),Q
DAUBREELITE,Fe++Cr2S4,C
DAVANITE,K2TiSi6O15,A
DAVIDITE-(Ce),(Ce|La)(Y|U|Fe++)(Ti|Fe+++)20(O|OH)38,R
DAVIDITE-(La),(La|Ce)(Y|U|Fe++)(Ti|Fe+++)20(O|OH)38,R
DAVIDITE-(Y),(?),(Y|Ce|La)2Fe+++2(Ti|Fe+++)18O38,(?),R
DAVIDLLOYDITE,Zn3(AsO4)2.4H2O,A
DAVINCIITE,Na12K3Ca6Fe++3Zr3(Si26O73OH)Cl2,R
DAVISITE,Ca(Sc|Ti|Mg)(AlSiO6),M
DAVREUXITE,MnAl6Si4O17(OH)2,M
DAVYNE,(Na|Ca|K)8Al6Si6O24(Cl|SO4|CO3)2-3,H
DAWSONITE,NaAl(CO3)(OH)2,O
DEANESMITHITE,Hg+2Hg++3Cr++++++O5S2,A
DEBATTISTIITE,Ag9Hg0|5As6S12Te2,A
DECRESPIGNYITE-(Y),(Y|Gd|Dy)4Cu(CO3)4Cl(OH)5.2H2O,M ps H
DEERITE,(Fe++|Mn)6(Fe+++|Al)3Si6O20(OH)5,M ps O
DEFERNITE,Ca6(CO3)2-x(SiO4)x(OH)7(Cl|OH)1-2x,(x=0|5),O
DELAFOSSITE,Cu+Fe+++O2,R
DELHAYELITE,(Na|K)10Ca5Al6Si32O80(Cl2|F2|SO4)3.18H2O,O
DELIENSITE,Fe++(UO2)2(SO4)2(OH)2.3H2O,O
DELINDEITE,(Na|K)3Ba2(Ti|Fe+++)3(Si2O7)2(O|OH|H2O)6,A
DELLAITE,Ca6Si3O11(OH)2,M,(?)
DELLAVENTURAITE,NaNa2(MgMn+++2Ti++++Li)Si8O22O2,M
DELONEITE,(Na|Ca|Ce)2Sr3(Ca|Ce)5(PO4)6(OH)F,R
DELORYITE,Cu++4(UO2)(MoO4)2(OH)6,M
DELRIOITE,(Sr|Ca)(VO3)2(H2O)4,M
DELVAUXITE,CaFe+++4(PO4|SO4)2(OH)8.4-6H2O,(?),am.
DEMARTINITE,K2SiF6,H
DEMESMAEKERITE,Pb2Cu5(UO2)2(SeO3)6(OH)6.2H2O,A
DEMICHELEITE-(Br),BiS(Br|Cl)5,O ps Q
DEMICHELEITE-(Cl),BiS(Cl|Br)5,O ps Q
DEMICHELEITE-(I),BiS(I|Br)5,O ps Q
DENISOVITE,(K|Na)Ca2Si3O8(F|OH),M
DENNINGITE,(Ca|Mn)(Mn|Zn)(Te2O5)2,Q
DEPMEIERITE,Na8[Al6Si6O24](PO4|CO3)1-x.3H2O,(x,smaller,than,0|5),H
DERBYLITE,Fe4Ti3SbO13(OH),M
DERRIKSITE,Cu4(UO2)(SeO3)2(OH)6,O
DERVILLITE,Ag2AsS2,M
DESAUTELSITE,Mg6Mn+++2(CO3)(OH)16.4H2O,R
DESCLOIZITE,PbZn(VO4)(OH),O
DESPUJOLSITE,Ca3Mn++++(SO4)2(OH)6.3H2O,H
DESSAUITE,(Sr|Pb)(Y|U)(Ti|Fe+++)20O38,R ps H
DEVEROITE-(Ce),(Ce|Nd|La)2(C2O4)3.10H2O,M
DEVILLINE,CaCu4(SO4)2(OH)6.3H2O,M
DEVITOITE,[Ba6(PO4)2(CO3)][Fe++7(OH)4Fe+++2O2(SiO3)8],A
DEWINDTITE,Pb3[H(UO2)3O2(PO4)2]2.12H2O,O
DIABOLEITE,Pb2CuCl2(OH)4,Q
DIADOCHITE,Fe+++2(PO4)(SO4)(OH).5H2O,A
DIAMOND,C,C
DIAOYUDAOITE,NaAl11O17,H
DIAPHORITE,Pb2Ag3Sb3S8,M
DIASPORE,AlO(OH),O
DICKINSONITE-(KMnNa),KNa4CaMn++14Al(PO4)12(OH)2,M
DICKITE,Al2Si2O5(OH)4,M
DICKTHOMSSENITE,Mg(V2O6).7H2O,M
DIETRICHITE,(Zn|Fe++|Mn++)Al2(SO4)4.22H2O,M
DIETZEITE,Ca2H2O(IO3)2(CrO4),M
DIGENITE,Cu9S5,C
DIMORPHITE,As4S3,O
DINGDAOHENGITE-(Ce),Ce4Fe++(Ti|Fe++|Mg|Fe+++)2Ti2Si4O22,M
DINITE,C20H36,O
DIOMIGNITE,Li2B4O7,Q
DIOPSIDE,CaMgSi2O6,M
DIOPTASE,CuSiO2(OH)2,R
DIRENZOITE,K6Na(Ca|Mg)3(Si|Al)60O120.36H2O,O
DISSAKISITE-(Ce),Ca(Ce|La)(Mg|Fe++)(Al|Fe+++)2(SiO4)3(OH),M
DISSAKISITE-(La),Ca(La|Ce|Th)(Mg|Fe++)(Al|Fe+++|Cr)2(SiO4)(Si2O7)O(OH),M
DISULFODADSONITE,Pb11Sb13S30(S2)0|5,A
DITTMARITE,(NH4)Mg(PO4).H2O,O
DIVERSILITE-(Ce),Na2(Ba|K)6CeFe++2Ti3[Si3O9]3[SiO3OH]3.9(OH|H2O),R
DIXENITE,Cu+Mn++14Fe+++(As+++O3)5(SiO4)2(As+++++O4)(OH)6,R
DJERFISHERITE,K6(Cu|Fe|Ni)24S26Cl,C
DJURLEITE,Cu31S16,M
DMISTEINBERGITE,CaAl2Si2O8,H
DMITRYIVANOVITE,CaAl2O4,M
DOLEROPHANITE,Cu2(SO4)O,M
DOLLASEITE-(Ce),CaCeMg2AlSi3O11(OH|F)2,M
DOLOMITE,CaMg(CO3)2,R
DOLORESITE,H8V++++6O16,M
DOMEROCKITE,Cu4(AsO4)2(AsO3OH)(OH)3.H2O,A
DOMEYKITE,Cu3As,C
DONATHITE,(?),(Fe++|Mg)(Cr|Fe+++)2O4,Q
DONHARRISITE,Ni8Hg3S9,M
DONNAYITE-(Y),Sr3NaCaY(CO3)6.3H2O,A ps R
DONPEACORITE,(Mn++|Mg)MgSi2O6,O
DORALLCHARITE,(Tl|K)2Fe+++6(SO4)4(OH)12,O
DORFMANITE,Na2HPO4.2H2O,O
DORRITE,Ca2Mg2Fe+++4Si2Al4O20,A
DOUGLASITE,K2Fe++Cl4.2H2O,M
DOVRYENITE,Ca6Zr(Si2O7)2(OH)4,O
DOWNEYITE,SeO2,Q
DOYLEITE,Al(OH)3,A
DOZYITE,(Mg7Al2)(Si4Al2)O15(OH)12,M
DRAVITE,NaMg3Al6(Si6O18)(BO3)3(OH)3OH,R
DRESSERITE,BaAl2(CO3)2(OH)4.H2O,O
DREYERITE,BiVO4,Q
DRONINOITE,Ni6Fe+++2(OH)16Cl2.4H2O,R
DRUGMANITE,Pb2(Fe+++|Al)H(PO4)2(OH)2,M
DRYSDALLITE,Mo(Se|S)2,H
DUALITE,Na30(Ca|Na|Ce|Sr)12(Na|Mn|Fe|Ti)6Zr3Ti3MnSi51O144(OH|H2O|Cl)9,R
DUFRENITE,Fe++Fe+++4(PO4)3(OH)5.2H2O,M
DUFRENOYSITE,Pb2As2S5,M
DUFTITE,PbCu(AsO4)(OH),O
DUGGANITE,Pb3Zn3Te(As|V|Si)2(O|OH)14,H
DUKEITE,Bi+++24Cr++++++8O57(OH)6.3H2O,R
DUMONTITE,Pb2(UO2)3O2(PO4)2.5H2O,M
DUMORTIERITE,Al7(BO3)(SiO4)3O3,O
DUNDASITE,PbAl2(CO3)2(OH)4.H2O,O
DURANGITE,NaAl(AsO4)F,M
DURANUSITE,As4S,O
DUSMATOVITE,K(K|Na|[])(Mn++|Y|Zr)2(Zn|Li)3Si12O30,H
DUSSERTITE,BaFe+++3(AsO4)2(OH)5,R
DUTTONITE,V++++O(OH)2,M
DWORNIKITE,(Ni|Fe++)SO4.H2O,M
DYMKOVITE,(Ni|Mg)(UO2)2(As+++O3).7H2O,M
DYPINGITE,Mg5(CO3)4(OH)2.5H2O,M,(?)
DYSCRASITE,Ag3Sb,O
DZHALINDITE,In(OH)3,C
DZHARKENITE,FeSe2,C
DZHEZKAZGANITE,(?),Lead,or,copper,rhenium,sulfide,(?),am.
DZHULUITE,{Ca3}[Sb+++++Sn++++](Fe+++3)O12,C
EAKERITE,Ca2SnAl2Si6O18(OH)2.2H2O,M
EARLANDITE,Ca3[C(OH)(CH2)2(COO)3]2.4H2O,M
EARLSHANNONITE,(Mn++|Fe++)Fe+++2(PO4)2(OH)2.4H2O,M
EASTONITE,KMg2AlAl2Si2O10(OH)2,M
ECANDREWSITE,(Zn|Fe++|Mn++)TiO3,R
ECDEMITE,Pb6As+++2O7Cl4,Q
ECKERMANNITE,NaNa2(Mg4Al)Si8O22(OH)2,M
ECKHARDITE,(Ca|Pb)Cu++Te++++++O5(H2O),M
ECLARITE,Pb9(Cu|Fe)Bi12S28,O
EDENHARTERITE,TlPbAs3S6,O
EDENITE,NaCa2(Mg|Fe++)5(Si7Al)O22(OH)2,M
EDGARBAILEYITE,Hg+6Si2O7,M
EDGREWITE,Ca9(SiO4)4F2,M
EDINGTONITE,Ba[Al2Si3O10].4H2O,O/Q
EDOYLERITE,Hg++3Cr++++++O4S2,M
EDWARDSITE,Cd2(Cu|Zn)3(SO4)2(OH)3.4H2O,M
EFFENBERGERITE,BaCuSi4O10,Q
EFREMOVITE,(NH4)2Mg2(SO4)3,C
EGGLETONITE,(Na|K|Ca)2(Mn|Fe)8(Si|Al)12O29(OH)7.11H2O,M
EGLESTONITE,Hg+6Cl3O(OH),(?),C
EHRLEITE,Ca2ZnBe(PO4)2(PO3OH).4H2O,A
EIFELITE,KNa3Mg4Si12O30,H
EIRIKITE,KNa6Be2Al3Si15O39F2,R
EITELITE,Na2Mg(CO3)2,R
EKANITE,ThCa2Si8O20,Q
EKATERINITE,Ca2B4O7(Cl|OH)2.2H2O,H
EKATITE,(Fe+++|Fe++|Zn)12(OH)6(AsO3)6[AsO3|HOSiO3]2,H
EKMANITE,(?),(Fe++|Mg|Mn|Fe+++)3(Si|Al)4O10(OH)2.2H2O,(?),O
EKPLEXITE,(Nb|Mo|W)S2.(Mg1-xAlx)(OH)2+x,R
ELBAITE,Na(Li1|5Al1|5)Al6(Si6O18)(BO3)3(OH)3OH,R
ELBRUSITE,{Ca3}[U+++++0|5Zr1|5](Fe+++3)O12,C
ELDFELLITE,NaFe+++(SO4)2,M
ELDRAGONITE,Cu6BiSe6,O
ELISEEVITE,Na1|5Li[Ti2Si4O12|5(OH)1|5].2H2O,M
ELLENBERGERITE,Mg6TiAl6Si8O28(OH)10,H
ELLINGSENITE,Na5Ca6Si18O38(OH)13.6H2O,A
ELLISITE,Tl3AsS3,R
ELPASOLITE,K2NaAlF6,C
ELPIDITE,Na2ZrSi6O15.3H2O,O
ELSMOREITE,=,HYDROKENOELSMOREITE,[]2W2O6(H2O),C
ELTYUBYUITE,Ca12Fe+++10Si4O32Cl6,C
ELYITE,Pb4Cu(SO4)O2(OH)4.H2O,M
EMBREYITE,Pb5(CrO4)2(PO4)2.H2O,M
EMELEUSITE,Na4Li2Fe+++2Si12O30,O ps H
EMILITE,Cu2|68Pb2|68Bi5|32S12,O
EMMERICHITE,Ba2Na(Na|Fe++)2(Fe+++|Mg)Ti2(Si2O7)2O2F2,M
EMMONSITE,Fe+++2Te++++3O9.2H2O,A
EMPLECTITE,CuBiS2,O
EMPRESSITE,AgTe,O
ENARGITE,Cu3AsS4,O
ENGELHAUPTITE,KCu3(V2O7)(OH)2Cl,H
ENGLISHITE,K3Na2Ca10Al15(PO4)21(OH)7.26H2O,O
ENSTATITE,Mg2Si2O6,O
EOSPHORITE,MnAl(PO4)(OH)2.H2O,M
EPHESITE,NaLiAl2Al2Si2O10(OH)2,M/A
EPIDIDYMITE,NaBeSi3O7(OH),O
EPIDOTE,Ca2Al2Fe+++[Si2O7][SiO4]O(OH),M
EPIDOTE-(Pb),CaPbAl2Fe+++[Si2O7][SiO4]O(OH),M
EPIDOTE-(Sr),CaSr(Al|Fe+++|Mn+++)3(Si2O7)(SiO4](OH),M
EPISTILBITE,(Ca|Na2)[Al2Si6O16].5H2O,M/A
EPISTOLITE,Na4Ti++++4(Si2O7)2O2(OH|F)2.4H2O,A
EPSOMITE,MgSO4.7H2O,O
ERCITITE,Na(Mn+++|Fe+++)(PO4)(OH).2H2O,M
ERDITE,NaFeS2.2H2O,M
ERICAITE,(Fe++|Mg|Mn)3B7O13Cl,O
ERICSSONITE,(-2M),BaMn2Fe+++OSi2O7(OH),M
ERICSSONITE,(-2O),BaMn2(Fe+++O)Si2O7(OH),O
ERIKAPOHLITE,Cu3(Zn|Cu|Mg)4Ca2(AsO4)6.2H2O,M
ERINGAITE,{Ca3}[Sc2](Si3)O12,C
ERIOCHALCITE,CuCl2.2H2O,O
ERIONITE-Ca,(Ca0|5|K|Na)10[Al10Si26O72].30H2O,H
ERIONITE-K,(K|Na|Ca0|5)10[Al10Si26O72].30H2O,H
